기사,aspect_term,sentiment
양수발전소는 심야 등 전기가 남을 때 펌프를 가동해 물을 낮은 곳에서 산 중간 저수지로 끌어올린 뒤 전력 수요가 증가하면 하부로 물을 낙하시켜 전기를 생산하는 시설이다.,전력,중립
양수발전소는 심야 등 전기가 남을 때 펌프를 가동해 물을 낮은 곳에서 산 중간 저수지로 끌어올린 뒤 전력 수요가 증가하면 하부로 물을 낙하시켜 전기를 생산하는 시설이다.,산,중립
올 1월 정부는 '제10차 전력수급기본계획(2022~2036)'을 발표하며 재생에너지 변동성에 대응하고 국가 전력 수급 안정화를 도모하고자 1.75GW(기가와트) 규모 신규 양수발전소 건설계획을 밝힌 바 있다.,전력,긍정
경남도는 '합천군 두무산 일대'가 정부가 추진 중인 전력 수급 안정화를 위한 신규 양수발전소 건설 최종 후보지로 확정됐다고 31일 밝혔다.,전력,긍정
"정부는 올해 1월 2036년까지 '제10차 전력수급기본계획'을 발표하고, 재생에너지의 변동성 대응 및 국가 전력 수급 안정화를 위해 1.75GW규모의 신규 양수발전소 건설계획을 확정, 경남 합천군과 전남 구례군을 우선 사업자로 선정했다.",전력,긍정
"'안전하고 따뜻한 사회'를 만들기 위해 범죄예방환경과 산불 홍수 예방시설을 구축하고, 찾아가는 건강 버스와 돌봄서비스 중장년 확대 등 돌봄",산불,중립
"곡성읍권은 체류형 복합인프라를 구축하고 문화 관광 콘텐츠를 확대해 나가고, 석곡권은 생태와 숲 자원을 연계한 생태 치유 힐링 거점으로 육성한다.",생태,중립
"곡성읍권은 체류형 복합인프라를 구축하고 문화 관광 콘텐츠를 확대해 나가고, 석곡권은 생태와 숲 자원을 연계한 생태 치유 힐링 거점으로 육성한다.",관광,중립
"곡성읍권은 체류형 복합인프라를 구축하고 문화 관광 콘텐츠를 확대해 나가고, 석곡권은 생태와 숲 자원을 연계한 생태 치유 힐링 거점으로 육성한다.",숲,중립
관광 분야에서는 남부권 광역관광 활성화를 위해 레일 스테이와 인공생태형 산림관광정원에도 나서 관광객 1천만명 시대를 열어간다.,관광,중립
지난 7월 말 순천에서 열린 제2회 '로컬 콘텐츠 페스타' 경기도와 전남도를 비롯해 도내 대부분의 시군이 참여해 지역 고유의 문화와 자연 자원을 소개하고 특산품을 홍보했습니다.,자연,중립
2세 딸을 1층 재활용 포대 위로 던지고 난 뒤 7개월 딸을 안은 채 뛰어내린 4층 거주자 박모(33) 씨는 머리를 크게 다쳐 숨졌다.,재활용,중립
반면 소요거리가 짧은 서울(1.51km)은 평균 소요시간이 4분59초로 전국에서 가장 빨리 화재 현장에 도착했다.,화재,중립
"다음으로는 대구(2.05km)가 5분13초, 대전(2.41km)가 5분50초, 부산(2.24km)이 5분54초, 인천(2.2km)이 6분2초순으로 화재 현장에 빨리 도착했다.",화재,중립
이번 최종 선정은 전남의 전력 계통 변동성과 간헐성 완화를 위한 정부 정책과의 부합성이 높고 주민 수용성도 높았기 때문으로 풀이된다.,전력,중립
전남도는 본격적인 건설에 앞서 자연훼손과 분진 피해를 최소화하고 지역 대표 관광자원으로 발전시킬 방안을 마련해 친환경 양수발전소를 건설할 계획이다.,분진,부정
"양수발전이란, 하부 댐에 있는 물을 상부로 끌어올려 저장했다가 전력 수요가 많을 때 하부 댐으로 물을 떨어뜨려 낙차를 이용해 전기를 생산하는 천연 전기 저장장치 기능을 하게 된다.",전력,중립
